Fecha,Grupo,Local,Visitante,Marcador_Predicho,Estado,Resultado_1X2,Marcador_Modelo_Previo,Resultado_1X2_Modelo_Previo,xG_L,xG_V,xG_L_Modelo_Previo,xG_V_Modelo_Previo,Prob_1,Prob_X,Prob_2,Prob_1_Modelo_Previo,Prob_X_Modelo_Previo,Prob_2_Modelo_Previo
2026-06-22,J,Argentina,Austria,2-0,Jugado,1,2-1,1,2.0,0.0,1.55,1.13,100.0,0.0,0.0,45.7,33.8,20.5
2026-06-22,I,Francia,Irak,3-0,Jugado,1,3-0,1,3.0,0.0,2.76,0.47,100.0,0.0,0.0,73.4,19.4,7.1
2026-06-22,H,Uruguay,Cabo Verde,2-2,Jugado,X,1-0,1,2.0,2.0,1.45,0.77,0.0,100.0,0.0,60.5,24.1,15.4
2026-06-23,K,Portugal,Uzbekistán,4-0,Pendiente,1,3-0,1,3.13,0.76,2.72,0.66,62.5,26.1,11.4,62.5,26.1,11.4
2026-06-23,J,Jordania,Argelia,1-2,Jugado,2,0-2,2,1.0,2.0,0.69,1.97,0.0,0.0,100.0,10.7,19.8,69.6
2026-06-23,I,Noruega,Senegal,3-2,Jugado,1,0-2,2,3.0,2.0,1.0,1.81,100.0,0.0,0.0,18.8,30.0,51.2
2026-06-23,L,Inglaterra,Ghana,0-0,Jugado,X,2-0,1,0.0,0.0,1.96,0.57,0.0,100.0,0.0,73.7,18.4,7.9
2026-06-24,B,Suiza,Canadá,2-1,Jugado,1,1-0,1,2.0,1.0,1.27,0.76,100.0,0.0,0.0,37.8,32.1,30.1
2026-06-24,L,Panamá,Croacia,0-3,Pendiente,2,0-2,2,0.82,2.44,0.71,2.12,14.6,24.4,61.0,14.6,24.4,61.0
2026-06-24,B,Bosnia-Herzegovina,Catar,3-1,Jugado,1,1-2,2,3.0,1.0,1.41,1.2,100.0,0.0,0.0,28.9,33.5,37.6
2026-06-24,K,Colombia,RD Congo,1-0,Jugado,1,1-0,1,1.0,0.0,1.48,0.87,100.0,0.0,0.0,49.7,30.6,19.7
2026-06-25,C,Escocia,Brasil,0-3,Jugado,2,1-2,2,0.0,3.0,1.03,1.86,0.0,0.0,100.0,10.9,24.6,64.6
2026-06-25,E,Curazao,Costa de Marfil,0-2,Pendiente,2,0-2,2,0.67,2.29,0.58,1.99,10.6,29.0,60.4,10.6,29.0,60.4
2026-06-25,A,República Checa,México,0-3,Jugado,2,1-2,2,0.0,3.0,1.14,2.05,0.0,0.0,100.0,10.2,24.7,65.1
2026-06-25,E,Ecuador,Alemania,0-2,Pendiente,2,0-2,2,0.92,2.28,0.8,1.98,12.9,34.2,52.9,12.9,34.2,52.9
2026-06-25,A,Sudáfrica,Corea del Sur,1-0,Jugado,1,1-1,X,1.0,0.0,0.89,1.05,100.0,0.0,0.0,21.3,47.8,30.9
2026-06-25,C,Marruecos,Haití,4-2,Jugado,1,2-0,1,4.0,2.0,1.88,0.55,100.0,0.0,0.0,66.1,22.3,11.6
2026-06-26,F,Túnez,Países Bajos,1-2,Pendiente,2,0-1,2,1.06,1.75,0.92,1.52,17.1,26.7,56.1,17.1,26.7,56.1
2026-06-26,I,Noruega,Francia,1-3,Pendiente,2,0-2,2,1.06,2.39,0.92,2.08,8.7,24.9,66.4,8.7,24.9,66.4
2026-06-26,F,Japón,Suecia,2-1,Pendiente,1,2-1,1,1.62,1.45,1.41,1.26,55.8,27.2,17.0,55.8,27.2,17.0
2026-06-26,D,Turquía,EE. UU.,1-1,Pendiente,X,1-1,X,1.38,1.76,1.2,1.53,19.6,43.6,36.7,19.6,43.6,36.7
2026-06-26,D,Paraguay,Australia,1-2,Pendiente,2,0-1,2,1.09,1.45,0.95,1.26,16.5,24.4,59.1,16.5,24.4,59.1
2026-06-26,I,Senegal,Irak,2-0,Pendiente,1,2-0,1,2.17,0.59,1.89,0.51,67.2,22.5,10.3,67.2,22.5,10.3
2026-06-27,H,Cabo Verde,Arabia Saudí,0-1,Pendiente,2,0-1,2,1.37,1.0,1.19,0.87,32.4,33.5,34.1,32.4,33.5,34.1
2026-06-27,H,Uruguay,España,0-2,Pendiente,2,0-2,2,0.98,2.06,0.85,1.79,19.0,30.9,50.2,19.0,30.9,50.2
2026-06-27,G,Egipto,Irán,0-1,Pendiente,2,0-1,2,1.12,1.44,0.97,1.25,15.6,35.4,49.0,15.6,35.4,49.0
2026-06-27,G,Nueva Zelanda,Bélgica,0-3,Pendiente,2,0-3,2,0.7,2.62,0.61,2.28,9.5,21.8,68.7,9.5,21.8,68.7
2026-06-27,L,Croacia,Ghana,2-0,Pendiente,1,2-0,1,2.17,0.79,1.89,0.69,70.6,21.1,8.3,70.6,21.1,8.3
2026-06-27,L,Panamá,Inglaterra,0-3,Pendiente,2,0-3,2,0.59,2.68,0.51,2.33,11.9,27.8,60.3,11.9,27.8,60.3
2026-06-28,J,Argelia,Austria,1-2,Pendiente,2,0-1,2,1.24,1.54,1.08,1.34,30.1,28.9,41.0,30.1,28.9,41.0
2026-06-28,J,Jordania,Argentina,0-4,Pendiente,2,0-3,2,0.48,3.11,0.42,2.7,6.0,15.6,78.4,6.0,15.6,78.4
2026-06-28,K,RD Congo,Uzbekistán,1-0,Pendiente,1,1-0,1,1.55,0.97,1.35,0.84,45.8,32.0,22.2,45.8,32.0,22.2
2026-06-28,K,Colombia,Portugal,1-2,Pendiente,2,1-2,2,1.23,2.37,1.07,2.06,20.6,34.6,44.7,20.6,34.6,44.7
